                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.585,                 3.8191,                 1.2814,                0.01401,                 0.5227,                0.06829,                 0.0365,                 1.5374,                 3.7418,                  1.201,             0.00024543,             0.00024543,             0.00024543
                      2,                 1.5898,                 2.6166,                 1.2473,                0.03927,                 0.6176,                0.20232,                0.10024,                 1.5803,                  3.297,                 1.2943,              0.0004983,              0.0004983,              0.0004983
                      3,                 1.5708,                 2.1856,                 1.2488,                0.39471,                0.30562,                0.29233,                0.15076,                  1.649,                 2.8091,                 1.3549,             0.00074949,             0.00074949,             0.00074949
                      4,                 1.5489,                 1.9901,                 1.2417,                0.40641,                0.32908,                0.32473,                0.17679,                 1.6818,                 2.3632,                 1.3472,                 0.0009,                 0.0009,                 0.0009
                      5,                 1.5663,                 1.9005,                 1.2428,                0.41123,                0.44741,                0.43075,                 0.2424,                 1.6487,                 2.0643,                 1.3336,                 0.0009,                 0.0009,                 0.0009
                      6,                 1.5327,                 1.7798,                 1.2451,                0.47198,                0.52017,                0.44142,                 0.2417,                 1.6174,                  1.967,                 1.2956,               0.000897,               0.000897,               0.000897
                      7,                 1.4748,                  1.714,                 1.2207,                0.54635,                0.49169,                 0.5069,                0.25526,                 1.6572,                 1.9179,                 1.3323,               0.000894,               0.000894,               0.000894
                      8,                 1.4646,                 1.6822,                 1.2075,                0.54556,                0.53782,                0.50623,                0.27761,                 1.6155,                 1.8616,                 1.3289,               0.000891,               0.000891,               0.000891
                      9,                 1.4556,                 1.5567,                 1.2088,                0.55735,                0.47712,                0.50904,                0.28202,                 1.5875,                 1.7661,                 1.3279,               0.000888,               0.000888,               0.000888
                     10,                 1.5064,                 1.5337,                  1.219,                0.55017,                0.54855,                0.54129,                0.29923,                 1.6209,                 1.7156,                 1.3324,               0.000885,               0.000885,               0.000885
                     11,                 1.4548,                 1.5301,                 1.2116,                0.64034,                0.51868,                0.54566,                0.29389,                 1.6076,                 1.6671,                 1.3298,               0.000882,               0.000882,               0.000882
                     12,                 1.4499,                 1.4718,                 1.2078,                0.67702,                0.51391,                0.57436,                0.32173,                 1.6383,                 1.6623,                 1.3315,               0.000879,               0.000879,               0.000879
                     13,                  1.431,                  1.408,                 1.1864,                0.64887,                0.55082,                0.58121,                0.32986,                 1.5997,                 1.5675,                 1.3318,               0.000876,               0.000876,               0.000876
                     14,                 1.4123,                 1.3534,                 1.1903,                0.63331,                 0.5976,                0.61142,                0.34176,                 1.5613,                 1.5144,                 1.2955,               0.000873,               0.000873,               0.000873
                     15,                 1.3927,                 1.3351,                 1.1723,                0.67969,                 0.5518,                0.61944,                0.34082,                 1.5671,                 1.6404,                 1.2978,                0.00087,                0.00087,                0.00087
                     16,                 1.3998,                 1.3187,                 1.1809,                0.71382,                0.60251,                0.64419,                0.35318,                 1.6075,                 1.6185,                 1.3088,               0.000867,               0.000867,               0.000867
                     17,                 1.3616,                 1.3014,                 1.1579,                0.65239,                0.55564,                0.60852,                0.33927,                 1.6067,                 1.5762,                  1.309,               0.000864,               0.000864,               0.000864
                     18,                  1.382,                 1.3011,                 1.1612,                0.71216,                0.57852,                0.63989,                0.36685,                 1.5644,                 1.4907,                 1.3145,               0.000861,               0.000861,               0.000861
                     19,                 1.3907,                 1.2925,                  1.172,                0.72668,                0.62621,                0.65632,                 0.3746,                 1.5688,                 1.4152,                 1.2886,             0.00085801,             0.00085801,             0.00085801
                     20,                 1.3576,                 1.2397,                 1.1477,                0.72105,                0.58547,                0.63813,                0.37141,                 1.5538,                 1.4554,                  1.292,             0.00085501,             0.00085501,             0.00085501
                     21,                 1.3924,                 1.2271,                 1.1619,                0.71266,                0.54762,                0.61092,                0.34408,                  1.553,                 1.4826,                 1.2979,             0.00085201,             0.00085201,             0.00085201
                     22,                 1.3455,                 1.2041,                 1.1505,                0.67413,                0.59019,                0.61544,                0.36142,                 1.5565,                 1.4306,                 1.2813,             0.00084901,             0.00084901,             0.00084901
                     23,                 1.3244,                 1.1546,                 1.1466,                0.73011,                0.58243,                0.65465,                0.38236,                 1.5839,                 1.3482,                 1.2831,             0.00084601,             0.00084601,             0.00084601
                     24,                  1.329,                 1.1551,                 1.1417,                0.72785,                0.56021,                 0.6372,                0.36395,                 1.5492,                 1.4143,                 1.2827,             0.00084301,             0.00084301,             0.00084301
                     25,                  1.317,                 1.1563,                 1.1261,                0.66879,                0.65844,                0.68424,                0.39998,                 1.5388,                 1.3322,                 1.2682,             0.00084001,             0.00084001,             0.00084001
                     26,                 1.3102,                 1.1452,                 1.1349,                0.66197,                0.59298,                0.61148,                0.33781,                 1.6362,                  1.413,                 1.3312,             0.00083701,             0.00083701,             0.00083701
                     27,                  1.302,                 1.0799,                 1.1187,                0.72607,                0.59589,                0.66846,                0.38365,                 1.5694,                 1.3601,                 1.2958,             0.00083401,             0.00083401,             0.00083401
                     28,                 1.2986,                 1.0904,                  1.129,                0.65325,                0.62927,                0.66418,                0.39204,                 1.5602,                 1.3015,                 1.2924,             0.00083101,             0.00083101,             0.00083101
                     29,                 1.3165,                 1.1012,                 1.1259,                0.70256,                0.67903,                0.69928,                0.39562,                 1.5995,                 1.2777,                 1.3251,             0.00082801,             0.00082801,             0.00082801
                     30,                 1.3017,                 1.0772,                 1.1272,                0.70646,                0.66952,                0.69466,                0.39272,                 1.5691,                 1.2479,                 1.3003,             0.00082501,             0.00082501,             0.00082501
                     31,                 1.2812,                 1.0564,                 1.1125,                0.74733,                0.63298,                0.68914,                0.38714,                   1.58,                 1.2489,                 1.3145,             0.00082201,             0.00082201,             0.00082201
                     32,                 1.2773,                  1.045,                 1.1179,                0.75475,                0.59285,                0.68291,                0.39989,                 1.5866,                 1.2833,                 1.2926,             0.00081901,             0.00081901,             0.00081901
                     33,                 1.2967,                 1.0417,                 1.1303,                0.76646,                0.58761,                0.67629,                0.39213,                 1.5617,                 1.3163,                  1.284,             0.00081601,             0.00081601,             0.00081601
                     34,                 1.2803,                 1.0146,                 1.1071,                0.65093,                0.64227,                0.66221,                0.38465,                 1.5738,                 1.2476,                 1.2949,             0.00081301,             0.00081301,             0.00081301
                     35,                 1.2457,                0.97349,                 1.1002,                0.69051,                0.68198,                0.70371,                0.40237,                  1.544,                 1.2098,                 1.2754,             0.00081001,             0.00081001,             0.00081001
                     36,                 1.2417,                0.96367,                 1.0992,                0.73924,                0.66601,                0.70756,                0.40435,                  1.538,                 1.1991,                 1.2759,             0.00080701,             0.00080701,             0.00080701
                     37,                 1.2597,                0.98661,                 1.1075,                0.73737,                0.65055,                0.69234,                0.40049,                 1.5616,                 1.2398,                 1.2842,             0.00080401,             0.00080401,             0.00080401
                     38,                 1.2348,                0.96726,                 1.0916,                0.72027,                0.65081,                0.69045,                0.40373,                 1.5286,                 1.1877,                 1.2667,             0.00080101,             0.00080101,             0.00080101
                     39,                 1.2525,                0.98459,                 1.0975,                0.75624,                0.64515,                0.69588,                0.40967,                 1.5302,                 1.2495,                 1.2918,             0.00079801,             0.00079801,             0.00079801
